station_name_ja,station_name_ko,wikidata_id,match_status,source
JR河内永和,JR 가와치에이와역,Q10854599,unique_korean_label,Wikidata CC0
JR五位堂,JR 고이도역,Q3655990,unique_korean_label,Wikidata CC0
JR三山木,JR 미야마키역,Q855528,unique_korean_label,Wikidata CC0
JR俊徳道,JR 슌토쿠미치역,Q10854600,unique_korean_label,Wikidata CC0
JR小倉,JR 오구라역,Q1049411,unique_korean_label,Wikidata CC0
JR総持寺,JR소지지역,Q11226302,unique_korean_label,Wikidata CC0
JR長瀬,JR 나가세역,Q856052,unique_korean_label,Wikidata CC0
JR藤森,JR 후지노모리역,Q1048325,unique_korean_label,Wikidata CC0
JR難波,JR 난바역,Q945659,unique_korean_label,Wikidata CC0
JR野江,JR 노에역,Q55876612,unique_korean_label,Wikidata CC0
YRP野比,YRP 노비역,Q8046018,unique_korean_label,Wikidata CC0
あいの里教育大,아이노사토쿄이쿠다이역,Q2490286,unique_korean_label,Wikidata CC0
あいの里公園,아이노사토코엔역,Q2490245,unique_korean_label,Wikidata CC0
アイランドセンター,아일랜드 센터역,Q11282449,unique_korean_label,Wikidata CC0
アイランド北口,아일랜드 기타구치역,Q11282452,unique_korean_label,Wikidata CC0
あおば通,아오바도리역,Q4778563,unique_korean_label,Wikidata CC0
あかぢ,아카지역,Q11256856,unique_korean_label,Wikidata CC0
あきた白神,아키타시라카미역,Q4701221,unique_korean_label,Wikidata CC0
あざみ野,아자미노역,Q852232,unique_korean_label,Wikidata CC0
あしかがフラワーパーク,아시카가 플라워파크역,Q45875891,unique_korean_label,Wikidata CC0
あつみ温泉,아쓰미온센역,Q4817784,unique_korean_label,Wikidata CC0
あぶくま,아부쿠마역,Q4670568,unique_korean_label,Wikidata CC0
いこいの村,이코이노무라역,Q11259169,unique_korean_label,Wikidata CC0
いずみ中央,이즈미추오역,Q6102271,unique_korean_label,Wikidata CC0
いずみ野,이즈미노역,Q6102365,unique_korean_label,Wikidata CC0
いりなか,이리나카역,Q864343,unique_korean_label,Wikidata CC0
いわき,이와키역,Q5353428,unique_korean_label,Wikidata CC0
いわて沼宮内,이와테누마쿠나이역,Q1136556,unique_korean_label,Wikidata CC0
ウェスパ椿山,웨스파쓰바키야마역,Q7977214,unique_korean_label,Wikidata CC0
うきは,우키하역,Q4898188,unique_korean_label,Wikidata CC0
ウッディタウン中央,우디타운추오역,Q8033703,unique_korean_label,Wikidata CC0
えちご押上ひすい海岸,에치고오시아게히스이카이간역,Q98196090,unique_korean_label,Wikidata CC0
えびの,에비노역,Q5331860,unique_korean_label,Wikidata CC0
えびの上江,에비노우와에역,Q5331862,unique_korean_label,Wikidata CC0
えびの飯野,에비노이노역,Q5331859,unique_korean_label,Wikidata CC0
おごと温泉,오고토온센역,Q5367599,unique_korean_label,Wikidata CC0
おもちゃのまち,오모차노마치역,Q7090437,unique_korean_label,Wikidata CC0
おもろまち,오모로마치역,Q7090660,unique_korean_label,Wikidata CC0
おゆみ野,오유미노역,Q7116390,unique_korean_label,Wikidata CC0
オレンジタウン,오렌지타운역,Q1441270,unique_korean_label,Wikidata CC0
お花茶屋,오하나자야역,Q7080614,unique_korean_label,Wikidata CC0
お台場海浜公園,오다이바카이힌코엔역,Q858883,unique_korean_label,Wikidata CC0
