region_code,line_code,station_code,region_hex,line_hex,station_hex,operator_name,line_name,station_name,remarks,source_name,source_url,fetched_at
0,0,240,00,00,F0,北海道旅客鉄道,-,札幌市内,旧 000-235,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,241,00,00,F1,東日本旅客鉄道,-,仙台市内,旧 000-234,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,242,00,00,F2,東日本旅客鉄道,-,東京都区内,旧 000-170,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,243,00,00,F3,東日本旅客鉄道,-,東京山手線内,旧 000-171,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,244,00,00,F4,東日本旅客鉄道,-,横浜市内,旧 000-172,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,246,00,00,F6,東海旅客鉄道,-,名古屋市内,旧 000-186,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,247,00,00,F7,西日本旅客鉄道,-,京都市内,旧 000-202,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,248,00,00,F8,西日本旅客鉄道,-,大阪市内,旧 000-203,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,249,00,00,F9,西日本旅客鉄道,-,神戸市内,旧 000-204,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,250,00,00,FA,西日本旅客鉄道,-,大阪・新大阪,,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,251,00,00,FB,西日本旅客鉄道,-,広島市内,旧 000-218,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,253,00,00,FD,九州旅客鉄道,-,福岡市内,旧 000-220,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,0,254,00,00,FE,九州旅客鉄道,-,北九州市内,旧 000-219,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=000,2026-07-15T08:46:36Z
0,1,1,00,01,01,東日本旅客鉄道,東海道線,東京,連絡駅 127-001,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=001,2026-07-15T08:46:36Z
0,1,2,00,01,02,東日本旅客鉄道,東海道線,有楽町,,Yoiko 自動改札機の研究,https://ja.ysrl.org/atc/code.php?region=0&line=001,2026-07-15T08:46:36Z
